title,description,url,text_clean
Parents' fears over sexting and abuse among teenagers,A mother and a father reveal their shock at learning of their children's experiences of online sex.,https://www.bbc.co.uk/news/education-57599347,"['parents', 'fears', 'sexting', 'abuse', 'among', 'mother', 'father', 'reveal', 'shock', 'learning', 'children', 'experiences', 'online', 'sex']"
Amy Winehouse: Could there be new music on the way?,"Ten years after her death, Amy's parents say they want fans to hear CDs of her unreleased material.",https://www.bbc.co.uk/news/entertainment-arts-57926362,"['amy', 'winehouse', 'could', 'new', 'music', 'way', 'years', 'death', 'amy', 'parents', 'say', 'want', 'fans', 'hear', 'cds', 'unreleased', 'material']"
"Daily contact testing in schools cuts absences, study finds",A study in 200 English secondary schools and colleges found very few infections in close contacts of cases.,https://www.bbc.co.uk/news/health-57930214,"['daily', 'contact', 'testing', 'schools', 'cuts', 'absences', 'study', 'study', 'english', 'secondary', 'schools', 'colleges', 'found', 'infections', 'close', 'contacts', 'cases']"
Child winter respiratory illness on rise in summer,"Parents are warned to look out for signs of RSV, after lockdown disrupted its normal winter spread.",https://www.bbc.co.uk/news/health-57908561,"['child', 'winter', 'respiratory', 'illness', 'rise', 'warned', 'look', 'signs', 'rsv', 'lockdown', 'disrupted', 'normal', 'winter', 'spread']"
Eight-week gap seen as sweet spot for Pfizer jab antibodies,"Spacing out the two doses beyond a month boosts antibody levels, researchers find.",https://www.bbc.co.uk/news/health-57929953,"['gap', 'seen', 'sweet', 'spot', 'pfizer', 'jab', 'two', 'doses', 'beyond', 'month', 'boosts', 'antibody', 'levels', 'researchers', 'find']"
Road planners 'can ignore climate change',"Government guidelines mean road planners can effectively ignore climate change, campaigners say.",https://www.bbc.co.uk/news/business-57935608,"['road', 'planners', 'ignore', 'climate', 'guidelines', 'mean', 'road', 'planners', 'effectively', 'ignore', 'climate', 'change', 'campaigners', 'say']"
Indian tax authorities raid media outlets Bharat Samachar and Dainik Bhaskar,The government denies that the raids were in retaliation for unfavourable reporting.,https://www.bbc.co.uk/news/world-asia-india-57937862,"['indian', 'tax', 'authorities', 'raid', 'media', 'outlets', 'bharat', 'samachar', 'dainik', 'government', 'denies', 'raids', 'retaliation', 'unfavourable', 'reporting']"
US imposes sanctions on Cuban officials after protest crackdown,"President Biden has been under pressure to respond to anti-regime protests. Also: the Senate in the Czech Republic has approved a plan to compensate Roma women who were forcibly sterilised, and beset by scandals and Covid-19 concerns, Tokyo prepares to hold t…",https://www.bbc.co.uk/programmes/p09q64ft,"['us', 'imposes', 'sanctions', 'cuban', 'officials', 'protest', 'biden', 'pressure', 'respond', 'protests', 'also', 'senate', 'czech', 'republic', 'approved', 'plan', 'compensate', 'roma', 'women', 'forcibly', 'sterilised', 'beset', 'scandals', 'concerns', 'tokyo', 'prepares', 'hold']"
Trading sex for cosmetic surgery in Mexico's narco capital,The influence of narcos has caused many women to undergo cosmetic surgery in Mexico's Sinaloa state.,https://www.bbc.co.uk/news/stories-57932216,"['trading', 'sex', 'cosmetic', 'surgery', 'mexico', 'narco', 'influence', 'narcos', 'caused', 'many', 'women', 'undergo', 'cosmetic', 'surgery', 'mexico', 'sinaloa', 'state']"
Tokyo Olympics: Japanese artists reimagine countries as anime samurai,The creators have used the flags of competing nations as inspiration to design Japanese warriors.,https://www.bbc.co.uk/news/world-asia-57911348,"['tokyo', 'olympics', 'japanese', 'artists', 'reimagine', 'countries', 'anime', 'creators', 'used', 'flags', 'competing', 'nations', 'inspiration', 'design', 'japanese', 'warriors']"
What does a future-proofed home look like?,"The technology exists to make homes more resilient to extreme weather, but it can be expensive.",https://www.bbc.co.uk/news/business-57738681,"['home', 'look', 'like', 'technology', 'exists', 'make', 'homes', 'resilient', 'extreme', 'weather', 'expensive']"
Wuhan virus: Was US money used to fund risky research in China?,What's the row about virus research in China between a prominent Republican and Dr Anthony Fauci?,https://www.bbc.co.uk/news/57932699,"['wuhan', 'virus', 'us', 'money', 'used', 'fund', 'risky', 'research', 'china', 'row', 'virus', 'research', 'china', 'prominent', 'republican', 'dr', 'anthony', 'fauci']"
2021/07/22 23:00 GMT,The latest five minute news bulletin from BBC World Service.,https://www.bbc.co.uk/programmes/w172xzjmw7bjzfg,"['latest', 'five', 'minute', 'news', 'bulletin', 'bbc', 'world', 'service']"
Africa's week in pictures: 16-22 July 2021,A selection of the week's best photos from across the continent and beyond.,https://www.bbc.co.uk/news/world-africa-57926873,"['africa', 'week', 'pictures', 'july', 'selection', 'week', 'best', 'photos', 'across', 'continent', 'beyond']"
